bench/sim_c9.gds DL
, comp_id: 2, sub_comp_id: 0,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 3, sub_comp_id: 1,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 43, sub_comp_id: 0,num_vertices(sg) 14, obj_value: 0.1
, comp_id: 45, sub_comp_id: 0,num_vertices(sg) 28, obj_value: 0.2
, comp_id: 46, sub_comp_id: 0,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 48, sub_comp_id: 1,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 49, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 52, sub_comp_id: 0,num_vertices(sg) 18, obj_value: 0.2
, comp_id: 55, sub_comp_id: 1,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 56, sub_comp_id: 1,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 56, sub_comp_id: 2,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 57, sub_comp_id: 2,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 59, sub_comp_id: 0,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 91, sub_comp_id: 1,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 107, sub_comp_id: 2,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 156, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 174, sub_comp_id: 1,num_vertices(sg) 21, obj_value: 0.2
, comp_id: 189, sub_comp_id: 1,num_vertices(sg) 20, obj_value: 0.1
, comp_id: 193, sub_comp_id: 0,num_vertices(sg) 17, obj_value: 0.1
, comp_id: 223, sub_comp_id: 1,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 271, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 271, sub_comp_id: 1,num_vertices(sg) 25, obj_value: 0.1
, comp_id: 279, sub_comp_id: 3,num_vertices(sg) 22, obj_value: 0.2
, comp_id: 279, sub_comp_id: 6,num_vertices(sg) 34, obj_value: 6
, comp_id: 279, sub_comp_id: 7,num_vertices(sg) 26, obj_value: 0.2
, comp_id: 291, sub_comp_id: 2,num_vertices(sg) 16, obj_value: 0.1
, comp_id: 312, sub_comp_id: 2,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 321, sub_comp_id: 1,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 350, sub_comp_id: 2,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 353, sub_comp_id: 0,num_vertices(sg) 15, obj_value: 0.1
, comp_id: 373, sub_comp_id: 0,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 378, sub_comp_id: 2,num_vertices(sg) 11, obj_value: 0.1
