bench/sim_s3.gds DL
, comp_id: 39, sub_comp_id: 5,num_vertices(sg) 9, obj_value: 2
, comp_id: 523, sub_comp_id: 1,num_vertices(sg) 17, obj_value: 0.1
, comp_id: 581, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 2
, comp_id: 907, sub_comp_id: 0,num_vertices(sg) 8, obj_value: 3
, comp_id: 936, sub_comp_id: 4,num_vertices(sg) 17, obj_value: 0.1
, comp_id: 1600, sub_comp_id: 9,num_vertices(sg) 8, obj_value: 2
, comp_id: 1970, sub_comp_id: 5,num_vertices(sg) 9, obj_value: 2
, comp_id: 2091, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 3
, comp_id: 2195, sub_comp_id: 0,num_vertices(sg) 8, obj_value: 3
, comp_id: 2287, sub_comp_id: 0,num_vertices(sg) 18, obj_value: 0.1
, comp_id: 2292, sub_comp_id: 4,num_vertices(sg) 22, obj_value: 3
, comp_id: 2553, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 2
, comp_id: 2857, sub_comp_id: 4,num_vertices(sg) 16, obj_value: 0.1
, comp_id: 2905, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 2
, comp_id: 2984, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 3103, sub_comp_id: 4,num_vertices(sg) 24, obj_value: 3
, comp_id: 3253, sub_comp_id: 0,num_vertices(sg) 19, obj_value: 2
, comp_id: 3851, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 1
, comp_id: 3866, sub_comp_id: 4,num_vertices(sg) 19, obj_value: 1
, comp_id: 3879, sub_comp_id: 13,num_vertices(sg) 13, obj_value: 0.1
, comp_id: 3985, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 3
, comp_id: 4261, sub_comp_id: 4,num_vertices(sg) 22, obj_value: 0.1
, comp_id: 4286, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 4304, sub_comp_id: 0,num_vertices(sg) 17, obj_value: 0.1
, comp_id: 4812, sub_comp_id: 1,num_vertices(sg) 19, obj_value: 2
, comp_id: 4850, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 1
, comp_id: 5278, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 5430, sub_comp_id: 1,num_vertices(sg) 7, obj_value: 2
, comp_id: 5490, sub_comp_id: 4,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 5571, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
