bench/sim_s4.gds DL
, comp_id: 0, sub_comp_id: 32,num_vertices(sg) 19, obj_value: 2
, comp_id: 0, sub_comp_id: 37,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 178, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 179, sub_comp_id: 4,num_vertices(sg) 9, obj_value: 3
, comp_id: 356, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 0.1
, comp_id: 847, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 1358, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 1710, sub_comp_id: 4,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 1714, sub_comp_id: 1,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 1724, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 2012, sub_comp_id: 4,num_vertices(sg) 20, obj_value: 1
, comp_id: 2019, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 2
, comp_id: 2075, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 2
, comp_id: 2110, sub_comp_id: 5,num_vertices(sg) 14, obj_value: 0.1
, comp_id: 2270, sub_comp_id: 0,num_vertices(sg) 14, obj_value: 0.1
, comp_id: 2361, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 2400, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 2582, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 2591, sub_comp_id: 4,num_vertices(sg) 14, obj_value: 0.1
, comp_id: 2741, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 2744, sub_comp_id: 4,num_vertices(sg) 20, obj_value: 1
, comp_id: 2818, sub_comp_id: 0,num_vertices(sg) 12, obj_value: 0.1
, comp_id: 3156, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3256, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3315, sub_comp_id: 2,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3489, sub_comp_id: 0,num_vertices(sg) 8, obj_value: 3
, comp_id: 3499, sub_comp_id: 2,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3569, sub_comp_id: 1,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3591, sub_comp_id: 2,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3605, sub_comp_id: 1,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 3639, sub_comp_id: 5,num_vertices(sg) 8, obj_value: 2
, comp_id: 3741, sub_comp_id: 4,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3930, sub_comp_id: 0,num_vertices(sg) 10, obj_value: 0.1
, comp_id: 3946, sub_comp_id: 0,num_vertices(sg) 8, obj_value: 0.1
, comp_id: 3957, sub_comp_id: 4,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 3975, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 4333, sub_comp_id: 4,num_vertices(sg) 20, obj_value: 3
, comp_id: 4483, sub_comp_id: 0,num_vertices(sg) 11, obj_value: 0.1
, comp_id: 4553, sub_comp_id: 0,num_vertices(sg) 9, obj_value: 0.1
, comp_id: 4636, sub_comp_id: 2,num_vertices(sg) 7, obj_value: 0.1
